GISID,parkid,type,name,address,acres,baseball_softball,basketball,community_center,discgolf,dogparks,football,golf,horseshoes,neighborhoodbldg,openfields,pavedtrails,playground,restroom,shelter,swimming,tennis,volleyball
,61,Park,Marlboro Park,1870 Benton Pl,9.3,1,1,,,,,,,X,X,,X,,,,2,
,62,Park,Martin Luther King Park,1625 McCullough Dr,37.6,1,1,,,,2,,,X,X,0.6,X,X,1,,2,1
,63,Park,Mary Todd Park,525 Rogers Rd,21.8,1,1,,,,,,,,X,0.3,X,X,8,,,
,64,Park,Masterson Hills Park,277 Lucille Dr,12.4,,,,,,,,,,X,,X,,,,,
,65,Park,Masterson Station Park,3051 Leestown Rd,659.75,,,,,X,20,,1,X,X,0.5,X,,3,,,X
,66,Park,McConnell Springs,416 Rebmann Ln,25.51,,,,,,,,,,X,0.5,,X,1,,,
,67,Golf Course,Meadowbrook Golf Course,360 Wilson Downing,27.41,,,,,,,X,,,,,,,,,,
,68,Park,Meadowbrook Park,372 Harvard Ln,11.5,1,1,,,,,,,,X,0.3,X,,1,,2,
,69,Park,Meadowthorpe Park,333 Larch Ln,5.5,1,1,,,,,,,X,X,,X,X,1,,2,
,70,Park,Model Airplane Facility,4200 Hedger Ln,8.69,,,,,,,,,,,,,,,,,
,71,Park,Mount Tabor Park,550 Elk Lake Dr,13.2,1,1,,,,5,,,,X,0.4,X,,1,,2,
,72,Park,Northeastern Park,140 Northeastern Ave,0.65,,,,,,,,,,X,,X,,,,,
,73,Park,Oakwood Park,1050 Briarwood Dr,10.9,1,1,,,,,,,X,,,X,X,1,,,
,74,Park,Phoenix Park,100 East Main St,1,,,,,,,,,,,,,,,,,
,75,Golf Course,Picadome,469 Parkway Dr,104.8,,,,,,,X,,X,,,,X,,X,,
,76,Park,Pine Meadows Park,1631 Tazwell Dr,2.2,,1,,,,,,,,X,0.2,X,,,,,
,77,Park,Pleasant Ridge Park,1350 Pleasant Ridge Dr,11.1,,,,,,1,X,,,X,,X,X,1,,,
,78,Park,Preston’s Springs Park,1937 Dunkirk Dr,15.95,,,,,,,,,,X,,,,,,,
,79,Park,Pyramid Park,201 Driscoll,2.6,,2,,,,,,,,,,X,,1,,,
,80,Park,Raven Run Nature Sanctuary,3788 Raven Run Way,734.32,,,,,,,,,,X,1.5,,X,,,,
,81,Park,River Hill Park,3800 Crosby Dr,16.2,1,1,,X,,,,,,X,0.5,X,X,1,,3,
,82,Park,Shillito Park,300 W. Reynolds Rd,176,8,2,,X,,4,,,,X,,X,X,6,X,13,
,83,Park,Smith Street Park,426 Smith St,0.2,,,,,,,,,,,,,,,,,
,84,Park,Southend Park,701 DeRoode St,7,,,,,,,,,,,,,,,,,
,85,Park,Southland Park,625 Hill-n-Dale Rd,16.6,2,1,,,,1,,,,X,,X,X,1,X,2,1
,86,Park,Southpoint Park,4496 Graves Dr,13,,,,,,,,,,X,0.5,X,,,,,
,87,Park,Speigle Heights Park,424 Speigle St,2,,1,,,,,,,,X,,X,,1,,,
,88,Park,Stonewall Park,3205 Cornwall Dr,9.14,,,,,,,,,,X,,,,,,,
,89,Park,Tates Creek Park,1400 Gainesway Dr,123.1,,,,,,,X,,X,,,,,,X,,
,90,Park,Thompson Road Park,319 Thompson Rd,0.5,,1,,,,,,,,,,X,,1,,,
,91,Park,Thoroughbred Park,121 Midland Ave,3.1,,,,,,,,,,,,,,,,,
,92,Park,The Arboretum,500 Alumni Dr.,99.44,,,,,,,,,,X,2,,,,,,
,93,Park,Valley Park,2077 Cambridge Dr,18.89,2,1,,,,2,,,X,X,,X,X,1,,,
,94,Park,Veterans Park,650 Southpoint Dr,235.39,6,,,X,,3,,,,X,1.1,X,X,4,,,
,95,Park,Waverly Park,4244 Southmoor Pk,11.13,,1,,,,1,,,,X,0.7,X,,1,,2,
,96,Park,Wellington Park,565 Wellington Way,38.3,,,,,X,,,,,X,1.6,,,,,,
,97,Park,Whitney Young Park,1033 St. Martins Ave,9.4,,1,,,,,,,X,X,,X,,,,4
,98,Park,Wildwood Park,3434 Greenlawn Dr,4.7,,1,,,,,,,X,,,X,,1,,
,99,Community Center,William Wells Brown Com. Ctr.,548 E Sixth St.,,,,X,,,,,,,,,X,X,,,
,100,Park,Wolf Run Park,1618 Maywick View Ln,10,3,1,,,,,,,,X,,X,,,,
,101,Park,Woodhill Park,457 Larkwood Dr,10.4,1,1,,,,1,,,X,X,,X,X,1,,
,102,Park,Woodland Park,601 E High St,19.4,1,1,,,,,,2,,X,,X,X,2,X,4
,103,Park,Woodward Heights Park,651 W. High St,1.4,,,,,,,,,,X,,,,,,
,104,Park,Zandale Park,750 Zandale Dr,3.4,,,,,,,,,,X,,,,,,
